"id","university","major","degree","season","decision","decision_method","decision_date","decision_timestamp","gpa","gre_verbal","gre_quant","gre_writing","status","post_data","post_timestamp","uni_faculty","uni_pub"
1,"Tufts University","CS","PhD","S16","Accepted","E-mail","16-11-2015",1447650000,3.6,166,163,4.5,"American","16-11-2015",1447650000,13,1.6
2,"Purdue University","CS","MS","S16","Rejected","E-mail","11-Feb-15",1446440400,3.5,156,169,3.5,"International","12/11/15",1447304400,53,4.8
3,"Northeastern University","CS","MS","S16","Accepted","E-mail","18-09-2015",1442548800,NA,158,163,3.5,"International","12/11/15",1447304400,55,4.7
4,"Purdue University","CS","MS","S16","Accepted","E-mail","31-10-2015",1446264000,3.5,156,169,3.5,"International","12/11/15",1447304400,53,4.8
5,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Accepted","E-mail","31-10-2015",1446264000,3.5,156,169,3.5,"International","12/11/15",1447304400,23,1.9
6,"Rutgers University","CS","MS","S16","Accepted","E-mail","30-10-2015",1446177600,3.5,156,169,3.5,"International","12/11/15",1447304400,43,3.6
7,"Northeastern University","CS","MS","S16","Accepted","E-mail","18-07-2015",1437192000,NA,158,163,3.5,"International","12/11/15",1447304400,55,4.7
8,"Iowa State University (ISU)","CS","MS","S16","Rejected","E-mail","11-Nov-15",1447218000,NA,NA,NA,NA,"International","12/11/15",1447304400,15,1.5
9,"Iowa State University (ISU)","CS","MS","S16","Rejected","E-mail","10-Nov-15",1444536000,3.5,144,167,3,"International","11/11/15",1447218000,15,1.5
10,"Duke University","CS","MS","S16","Accepted","E-mail","11-Apr-15",1446613200,NA,156,169,NA,"International","11/11/15",1447218000,22,2.8
11,"Duke University","ECE","PhD","S16","Rejected","E-mail","11-Sep-15",1447045200,3.2,156,147,3.5,"International","9/11/15",1447045200,22,2.8
12,"University Of Southern California (USC)","ECE","MS","S16","Accepted","Website","7-Aug-15",1436328000,3.3,147,161,3.5,"International","8/11/15",1446958800,50,5.7
13,"University Of Texas, Dallas (UT Dallas)","CS","MS","F16","Accepted","E-mail","11-Apr-15",1446613200,3.91,157,169,5.5,"International with US Degree","6/11/15",1446786000,34,2.3
14,"Purdue University","CS","MS","S16","Rejected","Website","30-10-2015",1446177600,NA,162,170,3.5,"International","5/11/15",1446699600,53,4.8
15,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Rejected","E-mail","27-10-2015",1445918400,NA,162,170,3.5,"International","5/11/15",1446699600,23,1.9
16,"Rutgers University","CS","MS","S16","Accepted","E-mail","11-May-15",1446699600,NA,162,170,3.5,"International","5/11/15",1446699600,NA,NA
17,"New York University (NYU)","CS","MS","S16","Accepted","E-mail","27-10-2015",1445918400,NA,NA,NA,NA,"International","5/11/15",1446699600,46,4.3
18,"Cornell University","CS","MEng","S16","Rejected","E-mail","11-Apr-15",1446613200,NA,NA,NA,NA,"International","4/11/15",1446613200,68,8.7
19,"University Of Illinois, Urbana-Champaign (UIUC)","ECE","PhD","S16","Accepted","E-mail","11-Mar-15",1446526800,3,149,164,2.5,"International","3/11/15",1446526800,83,9.9
20,"Cornell University","CS","MS","S16","Rejected","E-mail","11-Mar-15",1446526800,NA,NA,NA,NA,"International","3/11/15",1446526800,68,8.7
21,"Columbia University","CS","MS","S16","Accepted","E-mail","11-Feb-15",1446440400,NA,NA,NA,NA,"International","2/11/15",1446440400,47,5.8
22,"University Of Southern California (USC)","CS","MS","S16","Accepted","E-mail","11-Jan-15",1446350400,NA,NA,NA,NA,"International","1/11/15",1446350400,50,5.7
23,"Purdue University","CS","MS","S16","Rejected","E-mail","30-10-2015",1446177600,NA,NA,NA,NA,"International","30-10-2015",1446177600,53,4.8
24,"Purdue University","CS","PhD","S16","Rejected","Website","29-10-2015",1446091200,NA,NA,NA,NA,"International","29-10-2015",1446091200,53,4.8
25,"Iowa State University (ISU)","CS","MS","S16","Accepted","E-mail","28-10-2015",1446004800,NA,NA,NA,NA,"International","29-10-2015",1446091200,15,1.5
26,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Accepted","E-mail","27-10-2015",1445918400,NA,NA,NA,NA,"International","29-10-2015",1446091200,23,1.9
27,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Accepted","E-mail","23-10-2015",1445572800,NA,147,167,NA,"International","29-10-2015",1446091200,23,1.9
28,"Cornell University","CS","MEng","S16","Accepted","E-mail","28-10-2015",1446004800,NA,NA,NA,NA,"International","28-10-2015",1446004800,68,8.7
29,"University Of Florida, Gainesville (UFL)","CS","MS","S16","Rejected","E-mail","27-10-2015",1445918400,3.5,144,167,3,"International","28-10-2015",1446004800,23,1.9
30,"Rutgers University","CS","MS","S16","Accepted","E-mail","28-10-2015",1446004800,3.7,155,165,4.5,"International","28-10-2015",1446004800,43,3.6
31,"Iowa State University (ISU)","CS","MS","S16","Accepted","E-mail","27-10-2015",1445918400,3.5,144,167,3,"International","27-10-2015",1445918400,15,1.5
32,"Virginia Tech","CS","MS","S16","Rejected","Other","23-10-2015",1445572800,NA,156,163,4,"International","23-10-2015",1445572800,39,2.4
33,"University Of Southern California (USC)","CS","MS","S16","Accepted","E-mail","22-10-2015",1445486400,3.5,144,167,3,"International","23-10-2015",1445572800,50,5.7
34,"Rutgers University","CS","MS","S16","Accepted","E-mail","23-10-2015",1445572800,NA,155,170,4,"International","23-10-2015",1445572800,43,3.6
