"","major","degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"304","CS","MS","E-mail",3.6,158,163,"International",47,5.8,"04"
"10369","CS","MS","E-mail",3.3,158,165,"American",83,9.9,"03"
"3720","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",24,2,"04"
"14163","CS","PhD","Postal Service",NA,NA,NA,"International",152,18.1,"02"
"906","CS","MS","E-mail",NA,NA,NA,"International",47,5.8,"04"
"1696","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",46,4.3,"03"
"1373","CS","MS","E-mail",3.84,157,169,"International",57,11.5,"03"
"44","ECE","MS","E-mail",3.9,156,167,"International",50,5.7,"10"
"8949","CS","MS","E-mail",NA,NA,NA,"International",39,2.4,"05"
"2400","CS","PhD","E-mail",3.9,161,169,"American",37,3.4,"02"
"874","ECE","PhD","E-mail",4,170,148,"International",83,9.9,"04"
"1477","CS","PhD","E-mail",3.5,155,162,"International",26,2.3,"02"
"13950","CS","PhD","E-mail",NA,NA,NA,"International",57,11.5,"02"
"14956","ECE","MS","E-mail",3.44,156,164,"International",48,5.9,"03"
"4155","CS","MS","E-mail",3.66,153,163,"International with US Degree",68,8.7,"03"
"5153","CS","PhD","E-mail",3.67,141,169,"International",37,5,"02"
"12210","CS","MS","Website",NA,NA,NA,"International",37,5,"03"
"8853","CS","PhD","E-mail",3.43,152,170,"International",20,1.5,"01"
"14840","ECE","MS","Website",NA,163,164,"International",50,4.7,"03"
"9654","ECE","PhD","E-mail",3.53,161,166,"International",63,8.6,"03"
"15755","CS","PhD","Website",NA,NA,NA,"American",85,12.3,"02"
"8127","CS","PhD","E-mail",NA,NA,NA,"American",22,1.9,"02"
"13276","HCI","MS","E-mail",NA,NA,NA,"American",52,6.4,"02"
"12204","CS","PhD","Website",NA,NA,NA,"International",25,3.5,"03"
"5060","ECE","PhD","Website",NA,NA,NA,"International",85,12.3,"02"
"14676","CS","MS","Website",NA,NA,NA,"International",52,6.4,"04"
