"","decision"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",0
"7",0
"8",1
"9",0
"10",1
"11",0
"12",1
"13",0
"14",0
"15",1
"16",1
"17",0
"18",1
"19",0
"20",0
"21",0
"22",1
"23",1
"24",0
"25",0
"26",0
"27",1
"28",0
"29",0
"30",0
"31",0
"32",1
"33",0
"34",0
"35",0
"36",0
"37",0
"38",1
"39",1
"40",1
"41",1
"42",0
"43",1
"44",1
"45",1
"46",1
"47",0
"48",1
"49",1
"50",0
"51",0
"52",0
"53",1
"54",1
"55",1
"56",1
"57",1
"58",0
"59",0
"60",0
"61",1
"62",0
"63",0
"64",1
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",1
"73",1
"74",0
"75",0
"76",1
"77",1
"78",0
"79",1
"80",1
"81",0
"82",1
"83",1
"84",1
"85",0
"86",1
"87",0
"88",1
"89",1
"90",1
"91",0
"92",0
"93",0
"94",1
"95",1
"96",1
"97",0
"98",0
"99",0
"100",0
"101",0
"102",1
"103",1
"104",0
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",0
"112",1
"113",1
"114",0
"115",1
"116",0
"117",1
"118",0
"119",1
"120",1
"121",1
"122",0
"123",0
"124",1
"125",1
"126",0
"127",0
"128",0
"129",0
"130",1
"131",1
"132",1
"133",0
"134",1
"135",1
"136",0
"137",1
"138",0
"139",0
"140",1
"141",1
"142",0
"143",0
"144",1
"145",1
"146",0
"147",0
"148",0
"149",1
"150",0
"151",0
"152",0
"153",1
"154",1
"155",0
"156",1
"157",1
"158",0
"159",1
"160",1
"161",0
"162",1
"163",0
"164",0
"165",1
"166",1
"167",0
"168",1
"169",1
"170",1
"171",0
"172",1
"173",0
"174",1
"175",0
"176",1
"177",1
"178",1
"179",0
"180",0
"181",0
"182",1
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",1
"190",0
"191",0
"192",1
"193",0
"194",1
"195",1
"196",0
"197",1
"198",0
"199",1
"200",1
"201",1
"202",0
"203",1
"204",0
"205",0
"206",0
"207",0
"208",1
"209",1
"210",1
"211",1
"212",0
"213",0
"214",1
"215",1
"216",1
"217",0
"218",1
"219",0
"220",0
"221",0
"222",0
"223",0
"224",1
"225",0
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",0
"233",1
"234",0
"235",0
"236",0
"237",0
"238",1
"239",0
"240",1
"241",0
"242",0
"243",1
"244",0
"245",0
"246",1
"247",1
"248",0
"249",1
"250",0
"251",1
"252",0
"253",1
"254",1
"255",1
"256",0
"257",0
"258",0
"259",1
"260",1
"261",1
"262",1
"263",0
"264",1
"265",1
"266",0
"267",0
"268",0
"269",0
"270",1
"271",0
"272",1
"273",1
"274",0
"275",1
"276",0
"277",0
"278",0
"279",0
"280",1
"281",0
"282",0
"283",1
"284",1
"285",0
"286",1
"287",0
"288",1
"289",1
"290",1
"291",1
"292",1
"293",0
"294",1
"295",0
"296",0
"297",1
"298",1
"299",0
"300",0
"301",1
"302",1
"303",1
"304",0
"305",0
"306",1
"307",0
"308",1
"309",0
"310",0
"311",1
"312",1
"313",0
"314",0
"315",0
"316",0
"317",0
"318",1
"319",1
"320",0
"321",1
"322",0
"323",1
"324",0
"325",0
"326",0
"327",1
"328",0
"329",1
"330",1
"331",1
"332",1
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",1
"340",0
"341",1
"342",0
"343",0
"344",0
"345",1
"346",1
"347",1
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",1
"356",1
"357",0
"358",0
"359",1
"360",1
"361",0
"362",1
"363",0
"364",1
"365",1
"366",0
"367",1
"368",0
"369",0
"370",1
"371",0
"372",1
"373",1
"374",0
"375",0
"376",1
"377",0
"378",0
"379",0
"380",1
"381",0
"382",0
"383",1
"384",0
"385",1
"386",0
"387",0
"388",0
"389",1
"390",1
"391",0
"392",1
"393",0
"394",1
"395",0
"396",0
"397",0
"398",1
"399",1
"400",1
"401",0
"402",0
"403",0
"404",1
"405",0
"406",0
"407",1
"408",0
"409",0
"410",0
"411",1
"412",0
"413",0
"414",1
"415",1
"416",1
"417",0
"418",0
"419",1
"420",0
"421",0
"422",0
"423",1
"424",0
"425",1
"426",1
"427",1
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",1
"436",1
"437",1
"438",0
"439",1
"440",0
"441",1
"442",1
"443",1
"444",0
"445",1
"446",0
"447",1
"448",1
"449",0
"450",1
"451",0
"452",0
"453",1
"454",1
"455",1
"456",0
"457",1
"458",0
"459",1
"460",0
"461",0
"462",0
"463",1
"464",1
"465",0
"466",1
"467",0
"468",1
"469",1
"470",0
"471",0
"472",1
"473",0
"474",0
"475",1
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
